,GENE.SET,ES,NES,P.VALUE
490,GSE24142_ADULT_VS_FETAL_EARLY_THYMIC_PROGENITOR_UP,-0.323,-1.47,0.0249
491,GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_4H_UP,0.39,1.59,0.025
492,GSE29949_CD8_NEG_DC_SPLEEN_VS_CD8_POS_DC_SPLEEN_UP,-0.32,-1.49,0.025
493,GSE1460_NAIVE_CD4_TCELL_ADULT_BLOOD_VS_THYMIC_STROMAL_CELL_UP,-0.347,-1.54,0.025
494,GSE2770_IL12_AND_TGFB_ACT_VS_ACT_CD4_TCELL_6H_UP,-0.373,-1.61,0.0251
495,GSE7568_CTRL_VS_24H_TGFB_TREATED_MACROPHAGES_WITH_IL4_AND_DEXAMETHASONE_DN,-0.315,-1.42,0.0252
496,GSE23568_CTRL_TRANSDUCED_VS_WT_CD8_TCELL_DN,-0.491,-1.73,0.0252
497,GSE2197_IMMUNOSUPPRESSIVE_DNA_VS_UNTREATEDIN_DC_DN,0.289,1.39,0.0253
498,GSE360_HIGH_VS_LOW_DOSE_B_MALAYI_DC_UP,0.282,1.38,0.0256
499,GSE46242_CTRL_VS_EGR2_DELETED_ANERGIC_TH1_CD4_TCELL_UP,-0.345,-1.48,0.0256
500,GSE22886_CD4_TCELL_VS_BCELL_NAIVE_UP,-0.469,-1.71,0.0257
501,GSE17721_POLYIC_VS_GARDIQUIMOD_4H_BMDM_DN,0.286,1.41,0.0258
502,GSE14413_UNSTIM_VS_IFNB_STIM_NIH3T3_CELLS_UP,-0.313,-1.43,0.0258
503,GSE14308_TH2_VS_NAIVE_CD4_TCELL_UP,0.296,1.41,0.0259
504,GSE360_CTRL_VS_L_MAJOR_DC_UP,-0.286,-1.42,0.0259
505,GSE2706_2H_VS_8H_LPS_STIM_DC_UP,-0.318,-1.43,0.0259
506,GSE23114_WT_VS_SLE2C1_MOUSE_PERITONEAL_CAVITY_B1A_BCELL_DN,-0.307,-1.44,0.0259
507,GSE22432_MULTIPOTENT_VS_COMMON_DC_PROGENITOR_UNTREATED_UP,0.447,1.68,0.026
508,GSE41867_DAY8_EFFECTOR_VS_DAY30_MEMORY_CD8_TCELL_LCMV_ARMSTRONG_UP,0.388,1.57,0.026
509,GSE13411_NAIVE_BCELL_VS_PLASMA_CELL_UP,-0.376,-1.57,0.026
510,GSE32986_UNSTIM_VS_CURDLAN_HIGHDOSE_STIM_DC_DN,-0.411,-1.65,0.026
511,GSE21360_TERTIARY_VS_QUATERNARY_MEMORY_CD8_TCELL_UP,-0.397,-1.67,0.026
512,GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_6H_IFNA_STIM_DN,-0.329,-1.44,0.0261
513,GSE30083_SP2_VS_SP3_THYMOCYTE_UP,-0.271,-1.33,0.0262
514,GSE21927_SPLEEN_C57BL6_VS_EL4_TUMOR_BALBC_MONOCYTES_DN,0.456,1.67,0.0263
515,GSE28783_CTRL_ANTI_MIR_VS_UNTREATED_ATHEROSCLEROSIS_MACROPHAGE_UP,-0.275,-1.37,0.0263
516,GSE40277_EOS_AND_LEF1_TRANSDUCED_VS_GATA1_AND_SATB1_TRANSDUCED_CD4_TCELL_UP,-0.306,-1.44,0.0264
517,GSE3337_4H_VS_16H_IFNG_IN_CD8POS_DC_DN,-0.414,-1.64,0.0264
518,GSE40443_INDUCED_VS_TOTAL_TREG_UP,-0.28,-1.39,0.0265
519,GSE32986_UNSTIM_VS_GMCSF_AND_CURDLAN_LOWDOSE_STIM_DC_UP,0.396,1.64,0.0266
520,GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_UP,-0.325,-1.49,0.0266
521,GSE3565_CTRL_VS_LPS_INJECTED_SPLENOCYTES_DN,-0.358,-1.53,0.0267
522,GSE17974_0H_VS_48H_IN_VITRO_ACT_CD4_TCELL_DN,0.431,1.66,0.0268
523,GSE19888_ADENOSINE_A3R_INH_VS_ACT_WITH_INHIBITOR_PRETREATMENT_IN_MAST_CELL_DN,-0.346,-1.46,0.0268
524,GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_18H_UP,0.319,1.48,0.0269
525,GSE15735_CTRL_VS_HDAC_INHIBITOR_TREATED_CD4_TCELL_2H_UP,-0.37,-1.6,0.0269
526,GSE17721_POLYIC_VS_GARDIQUIMOD_0.5H_BMDM_UP,-0.288,-1.38,0.027
527,GSE40666_STAT1_KO_VS_STAT4_KO_CD8_TCELL_DN,-0.312,-1.44,0.027
528,GSE5542_IFNG_VS_IFNA_TREATED_EPITHELIAL_CELLS_24H_DN,-0.323,-1.45,0.027
529,GSE40274_CTRL_VS_FOXP3_AND_SATB1_TRANSDUCED_ACTIVATED_CD4_TCELL_DN,-0.332,-1.49,0.027
530,GSE32901_NAIVE_VS_TH17_ENRICHED_CD4_TCELL_UP,-0.364,-1.54,0.027
531,GSE369_SOCS3_KO_VS_WT_LIVER_UP,0.427,1.63,0.0272
532,GSE17186_NAIVE_VS_CD21LOW_TRANSITIONAL_BCELL_DN,-0.329,-1.51,0.0272
533,GSE40274_CTRL_VS_SATB1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP,-0.353,-1.54,0.0273
534,GSE3982_MAC_VS_NEUTROPHIL_LPS_STIM_DN,-0.278,-1.33,0.0274
535,GSE10211_UV_INACT_SENDAI_VS_LIVE_SENDAI_VIRUS_TRACHEAL_EPITHELIAL_CELLS_DN,-0.31,-1.42,0.0274
536,GSE23114_PERITONEAL_CAVITY_B1A_BCELL_VS_SPLEEN_BCELL_UP,-0.309,-1.41,0.0275
537,GSE34205_HEALTHY_VS_FLU_INF_INFANT_PBMC_UP,-0.427,-1.69,0.0275
538,GSE2770_IL12_VS_IL4_TREATED_ACT_CD4_TCELL_48H_UP,0.375,1.6,0.0277
539,GSE27786_BCELL_VS_NEUTROPHIL_UP,0.326,1.47,0.0277
540,GSE16266_CTRL_VS_LPS_STIM_MEF_DN,-0.361,-1.56,0.0277
541,GSE16450_CTRL_VS_IFNA_6H_STIM_MATURE_NEURON_CELL_LINE_DN,-0.305,-1.41,0.0278
542,GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_4H_CD4_TCELL_DN,0.368,1.55,0.0279
543,GSE45365_CTRL_VS_MCMV_INFECTION_NK_CELL_DN,0.446,1.76,0.028
544,GSE2770_IL12_AND_TGFB_ACT_VS_ACT_CD4_TCELL_2H_UP,0.321,1.45,0.028
545,GSE28726_NAIVE_VS_ACTIVATED_NKTCELL_UP,-0.363,-1.53,0.028
546,GSE6674_ANTI_IGM_VS_PL2_3_STIM_BCELL_DN,0.398,1.59,0.0282
547,GSE28737_WT_VS_BCL6_KO_MARGINAL_ZONE_BCELL_DN,0.423,1.56,0.0282
548,GSE11961_MARGINAL_ZONE_BCELL_VS_MEMORY_BCELL_DAY40_UP,-0.29,-1.39,0.0282
549,GSE23568_CTRL_VS_ID3_TRANSDUCED_CD8_TCELL_UP,-0.396,-1.58,0.0283
550,GSE20366_CD103_KLRG1_DP_VS_DN_TREG_UP,-0.256,-1.32,0.0284
551,GSE15330_WT_VS_IKAROS_KO_MEGAKARYOCYTE_ERYTHROID_PROGENITOR_DN,-0.284,-1.39,0.0284
552,GSE29618_PRE_VS_DAY7_FLU_VACCINE_BCELL_UP,-0.316,-1.47,0.0284
553,GSE16385_ROSIGLITAZONE_IL4_VS_ROSIGLITAZONE_ALONE_STIM_MACROPHAGE_DN,0.349,1.52,0.0285
554,GSE43863_DAY6_EFF_VS_DAY150_MEM_TFH_CD4_TCELL_DN,-0.348,-1.51,0.0285
555,GSE21670_UNTREATED_VS_TGFB_TREATED_CD4_TCELL_DN,-0.328,-1.45,0.0287
556,GSE6875_TCONV_VS_FOXP3_KO_TREG_UP,-0.313,-1.48,0.0287
557,GSE4984_UNTREATED_VS_LPS_TREATED_DC_DN,0.318,1.43,0.0288
558,GSE2405_0H_VS_12H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP,-0.469,-1.68,0.0288
559,GSE22886_CD8_VS_CD4_NAIVE_TCELL_UP,0.385,1.57,0.0289
560,GSE14308_TH2_VS_TH17_UP,0.32,1.45,0.0289
561,GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_IL12_CD8_TCELL_UP,-0.29,-1.4,0.029
562,GSE37301_HEMATOPOIETIC_STEM_CELL_VS_CD4_TCELL_DN,-0.323,-1.44,0.029
563,GSE360_HIGH_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_MAC_UP,-0.372,-1.58,0.029
564,GSE5679_RARA_AGONIST_AM580_VS_AM580_AND_ROSIGLITAZONE_TREATED_DC_DN,-0.407,-1.64,0.029
565,GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_16H_UP,0.345,1.51,0.0291
566,GSE17721_CTRL_VS_GARDIQUIMOD_24H_BMDM_DN,0.335,1.51,0.0291
567,GSE8621_LPS_PRIMED_UNSTIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_DN,0.36,1.5,0.0291
568,GSE4984_UNTREATED_VS_VEHICLE_CTRL_TREATED_DC_UP,-0.317,-1.44,0.0291
569,GSE1432_CTRL_VS_IFNG_24H_MICROGLIA_UP,-0.316,-1.45,0.0291
570,GSE21360_SECONDARY_VS_TERTIARY_MEMORY_CD8_TCELL_DN,-0.373,-1.55,0.0292
571,GSE2770_UNTREATED_VS_IL4_TREATED_ACT_CD4_TCELL_2H_DN,0.374,1.54,0.0293
572,GSE36476_YOUNG_VS_OLD_DONOR_MEMORY_CD4_TCELL_40H_TSST_ACT_UP,-0.294,-1.37,0.0293
573,GSE41867_NAIVE_VS_EFFECTOR_CD8_TCELL_UP,0.366,1.56,0.0294
574,GSE17721_CTRL_VS_POLYIC_4H_BMDM_UP,0.316,1.45,0.0294
575,GSE12505_WT_VS_E2-2_HET_PDC_UP,-0.316,-1.42,0.0294
576,GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_52H_DN,-0.287,-1.4,0.0295
577,GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_OLD_UP,-0.357,-1.49,0.0295
578,GSE20715_0H_VS_48H_OZONE_LUNG_DN,0.383,1.58,0.0297
579,GSE41867_DAY15_EFFECTOR_VS_DAY30_EXHAUSTED_CD8_TCELL_LCMV_CLONE13_DN,0.396,1.56,0.0298
580,GSE22886_IGA_VS_IGM_MEMORY_BCELL_DN,-0.316,-1.48,0.0298
581,GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_DN,-0.346,-1.56,0.0298
582,GSE19888_ADENOSINE_A3R_INH_VS_ACT_IN_MAST_CELL_DN,-0.384,-1.6,0.0299
583,GSE15324_NAIVE_VS_ACTIVATED_ELF4_KO_CD8_TCELL_DN,0.312,1.44,0.03
584,GSE360_CTRL_VS_T_GONDII_MAC_UP,-0.335,-1.5,0.0301
585,GSE3982_NKCELL_VS_TH1_DN,0.416,1.66,0.0302
586,GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IL12_CD8_TCELL_DN,0.444,1.64,0.0302
587,GSE37301_RAG2_KO_VS_RAG2_AND_ETS1_KO_NK_CELL_DN,0.297,1.38,0.0302
588,GSE13306_TREG_VS_TCONV_LAMINA_PROPRIA_UP,-0.283,-1.38,0.0302
589,GSE27241_CTRL_VS_DIGOXIN_TREATED_CD4_TCELL_IN_TH17_POLARIZING_CONDITIONS_UP,-0.42,-1.66,0.0302
590,GSE46606_IRF4_KO_VS_WT_UNSTIM_BCELL_UP,-0.301,-1.42,0.0303
591,GSE3565_DUSP1_VS_WT_SPLENOCYTES_DN,-0.383,-1.62,0.0303
592,GSE17721_POLYIC_VS_PAM3CSK4_6H_BMDM_DN,0.33,1.49,0.0304
593,GSE43863_NAIVE_VS_LY6C_LOW_CXCR5NEG_CD4_EFF_TCELL_D6_LCMV_UP,-0.322,-1.45,0.0304
594,GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_4H_ACT_CD4_TCELL_UP,-0.323,-1.46,0.0304
595,GSE29617_CTRL_VS_DAY3_TIV_FLU_VACCINE_PBMC_2008_DN,0.417,1.6,0.0305
596,GSE13411_PLASMA_CELL_VS_MEMORY_BCELL_DN,-0.44,-1.68,0.0306
597,GSE41867_NAIVE_VS_DAY15_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_UP,0.323,1.46,0.0308
598,GSE21380_NON_TFH_VS_TFH_CD4_TCELL_UP,-0.398,-1.62,0.0308
599,GSE17721_0.5H_VS_24H_GARDIQUIMOD_BMDM_DN,0.325,1.46,0.0309
600,GSE10147_IL3_VS_IL3_AND_HIVP17_STIM_PDC_DN,-0.35,-1.5,0.0309
601,GSE9946_MATURE_STIMULATORY_VS_PROSTAGLANDINE2_TREATED_MATURE_DC_DN,-0.313,-1.37,0.0314
602,GSE15750_DAY6_VS_DAY10_EFF_CD8_TCELL_DN,-0.332,-1.5,0.0315
603,GSE17974_0H_VS_48H_IN_VITRO_ACT_CD4_TCELL_UP,-0.354,-1.51,0.0318
604,GSE17721_CTRL_VS_PAM3CSK4_24H_BMDM_DN,0.329,1.47,0.0319
605,GSE37605_C57BL6_VS_NOD_FOXP3_FUSION_GFP_TREG_DN,-0.373,-1.57,0.0319
606,GSE17974_0H_VS_1H_IN_VITRO_ACT_CD4_TCELL_UP,-0.404,-1.56,0.032
607,GSE22886_UNSTIM_VS_IL2_STIM_NKCELL_DN,0.481,1.66,0.0321
608,GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_INFAB_CD8_TCELL_DN,0.444,1.62,0.0321
609,GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_6H_UP,0.374,1.52,0.0322
610,GSE7460_CTRL_VS_TGFB_TREATED_ACT_FOXP3_HET_TCONV_UP,0.34,1.48,0.0322
611,GSE21063_WT_VS_NFATC1_KO_8H_ANTI_IGM_STIM_BCELL_DN,-0.323,-1.48,0.0322
612,GSE30962_PRIMARY_VS_SECONDARY_CHRONIC_LCMV_INF_CD8_TCELL_DN,-0.364,-1.56,0.0322
613,GSE22886_NAIVE_CD4_TCELL_VS_DC_UP,-0.447,-1.71,0.0322
614,GSE25087_TREG_VS_TCONV_FETUS_DN,-0.269,-1.33,0.0323
615,GSE40274_EOS_VS_FOXP3_AND_EOS_TRANSDUCED_ACTIVATED_CD4_TCELL_UP,0.292,1.4,0.0324
616,GSE20715_0H_VS_24H_OZONE_TLR4_KO_LUNG_UP,-0.329,-1.46,0.0327
617,GSE8621_UNSTIM_VS_LPS_PRIMED_UNSTIM_MACROPHAGE_DN,0.302,1.41,0.0328
618,GSE10239_NAIVE_VS_DAY4.5_EFF_CD8_TCELL_DN,0.456,1.67,0.0329
619,GSE11961_FOLLICULAR_BCELL_VS_GERMINAL_CENTER_BCELL_DAY40_UP,-0.282,-1.38,0.0329
620,GSE40274_CTRL_VS_SATB1_TRANSDUCED_ACTIVATED_CD4_TCELL_DN,0.353,1.53,0.033
621,GSE28726_ACT_CD4_TCELL_VS_ACT_NKTCELL_UP,0.352,1.52,0.033
622,GSE2770_TGFB_AND_IL4_VS_IL12_TREATED_ACT_CD4_TCELL_2H_DN,-0.324,-1.47,0.033
623,GSE24142_DN2_VS_DN3_THYMOCYTE_FETAL_DN,-0.32,-1.48,0.033
624,GSE17721_CTRL_VS_POLYIC_1H_BMDM_DN,-0.258,-1.3,0.0331
625,GSE11924_TFH_VS_TH2_CD4_TCELL_UP,-0.332,-1.48,0.0331
626,GSE22432_MULTIPOTENT_PROGENITOR_VS_PDC_DN,0.362,1.51,0.0332
627,GSE10147_IL3_VS_IL3_AND_CPG_STIM_PDC_DN,0.302,1.42,0.0332
628,GSE27859_DC_VS_CD11C_INT_F480_INT_DC_UP,-0.274,-1.35,0.0332
629,GSE2770_UNTREATED_VS_IL12_TREATED_ACT_CD4_TCELL_2H_UP,-0.272,-1.36,0.0332
630,GSE29617_CTRL_VS_TIV_FLU_VACCINE_PBMC_2008_DN,0.427,1.64,0.0335
631,GSE20715_0H_VS_24H_OZONE_LUNG_UP,-0.387,-1.59,0.0336
632,GSE46468_LUNG_INNATE_LYMPHOID_CELL_VS_SPLEEN_CD4_TCELL_DN,0.402,1.62,0.0337
633,GSE7568_IL4_VS_IL4_AND_TGFB_TREATED_MACROPHAGE_24H_DN,0.375,1.52,0.0337
634,GSE7831_1H_VS_4H_CPG_STIM_PDC_UP,-0.27,-1.35,0.0337
635,GSE25123_ROSIGLITAZONE_VS_IL4_AND_ROSIGLITAZONE_STIM_PPARG_KO_MACROPHAGE_DAY10_DN,-0.31,-1.44,0.0338
636,GSE2770_IL4_ACT_VS_ACT_CD4_TCELL_48H_DN,-0.311,-1.43,0.0339
637,GSE12003_MIR223_KO_VS_WT_BM_PROGENITOR_8D_CULTURE_UP,-0.323,-1.45,0.034
638,GSE15930_STIM_VS_STIM_AND_IL-12_48H_CD8_T_CELL_UP,-0.375,-1.56,0.0342
639,GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_CD8_TCELL_DN,0.45,1.63,0.0343
640,GSE22342_CD11C_HIGH_VS_LOW_DECIDUAL_MACROPHAGES_DN,-0.298,-1.41,0.0343
641,GSE46242_TH1_VS_ANERGIC_TH1_CD4_TCELL_WITH_EGR2_DELETED_DN,-0.298,-1.41,0.0344
642,GSE3982_BCELL_VS_TH1_UP,-0.313,-1.45,0.0345
643,GSE3982_BCELL_VS_TH2_UP,-0.322,-1.45,0.0345
644,GSE27241_CTRL_VS_DIGOXIN_TREATED_RORGT_KO_CD4_TCELL_IN_TH17_POLARIZING_CONDITIONS_DN,-0.351,-1.54,0.0345
645,GSE22886_NAIVE_CD8_TCELL_VS_DC_UP,-0.473,-1.75,0.0345
646,GSE5455_EX_VIVO_VS_POST_24H_INCUBATION_MONOCYTES_FROM_TUMOR_BEARING_MOUSE_DN,-0.32,-1.47,0.0346
647,GSE14000_4H_VS_16H_LPS_DC_TRANSLATED_RNA_UP,-0.361,-1.55,0.0346
648,GSE14350_IL2RB_KO_VS_WT_TREG_DN,-0.32,-1.46,0.0349
649,GSE37532_WT_VS_PPARG_KO_VISCERAL_ADIPOSE_TISSUE_TCONV_UP,-0.347,-1.48,0.0349
650,GSE3982_BASOPHIL_VS_EFF_MEMORY_CD4_TCELL_DN,-0.297,-1.38,0.035
651,GSE22601_IMMATURE_CD4_SINGLE_POSITIVE_VS_DOUBLE_POSITIVE_THYMOCYTE_UP,-0.298,-1.37,0.0351
652,GSE30083_SP1_VS_SP2_THYMOCYTE_UP,-0.278,-1.34,0.0352
653,GSE1460_DP_VS_CD4_THYMOCYTE_DN,-0.414,-1.61,0.0352
654,GSE1460_INTRATHYMIC_T_PROGENITOR_VS_NAIVE_CD4_TCELL_ADULT_BLOOD_UP,0.424,1.66,0.0353
655,GSE11884_WT_VS_FURIN_KO_NAIVE_CD4_TCELL_UP,-0.294,-1.36,0.0353
656,GSE3982_EOSINOPHIL_VS_TH2_DN,0.356,1.5,0.0354
657,GSE41867_DAY8_EFFECTOR_VS_DAY30_EXHAUSTED_CD8_TCELL_LCMV_CLONE13_UP,0.311,1.45,0.0354
658,GSE27786_BCELL_VS_CD4_TCELL_DN,-0.289,-1.4,0.0354
659,GSE17721_12H_VS_24H_CPG_BMDM_DN,0.294,1.39,0.0355
660,GSE39110_DAY3_VS_DAY6_POST_IMMUNIZATION_CD8_TCELL_WITH_IL2_TREATMENT_DN,-0.299,-1.42,0.0355
661,GSE2770_UNTREATED_VS_IL4_TREATED_ACT_CD4_TCELL_48H_DN,0.413,1.63,0.0356
662,GSE24142_ADULT_VS_FETAL_EARLY_THYMIC_PROGENITOR_DN,0.355,1.5,0.0356
663,GSE19198_1H_VS_6H_IL21_TREATED_TCELL_UP,-0.308,-1.39,0.0356
664,GSE22886_IGG_IGA_MEMORY_BCELL_VS_BLOOD_PLASMA_CELL_UP,-0.359,-1.5,0.0356
665,GSE360_L_MAJOR_VS_B_MALAYI_HIGH_DOSE_DC_DN,-0.26,-1.31,0.0357
666,GSE12392_WT_VS_IFNAR_KO_CD8A_NEG_SPLEEN_DC_UP,-0.391,-1.54,0.0359
667,GSE16451_IMMATURE_VS_MATURE_NEURON_CELL_LINE_WEST_EQUINE_ENC_VIRUS_DN,0.38,1.51,0.036
668,GSE5503_MLN_DC_VS_SPLEEN_DC_ACTIVATED_ALLOGENIC_TCELL_DN,0.345,1.48,0.036
669,GSE43955_TH0_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_60H_DN,-0.289,-1.39,0.036
670,GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN3_THYMOCYTE_FETAL_DN,-0.287,-1.39,0.0361
671,GSE21360_PRIMARY_VS_TERTIARY_MEMORY_CD8_TCELL_UP,-0.313,-1.44,0.0361
672,GSE13173_UNTREATED_VS_IL12_TREATED_ACT_CD8_TCELL_UP,-0.357,-1.48,0.0361
673,GSE18281_MEDULLARY_THYMOCYTE_VS_WHOLE_MEDULLA_THYMUS_UP,-0.352,-1.54,0.0362
674,GSE28726_NAIVE_VS_ACTIVATED_VA24NEG_NKTCELL_DN,-0.322,-1.44,0.0363
675,GSE17721_CPG_VS_GARDIQUIMOD_16H_BMDM_DN,0.281,1.35,0.0364
676,GSE7764_IL15_NK_CELL_24H_VS_SPLENOCYTE_DN,-0.335,-1.48,0.0365
677,GSE6269_HEALTHY_VS_E_COLI_INF_PBMC_UP,-0.404,-1.57,0.0365
678,GSE7568_IL4_TGFB_DEXAMETHASONE_VS_IL4_TGFB_TREATED_MACROPHAGE_UP,0.386,1.56,0.0367
679,GSE2935_UV_INACTIVATED_VS_LIVE_SENDAI_VIRUS_INF_MACROPHAGE_UP,-0.369,-1.57,0.0367
680,GSE3982_DC_VS_NEUTROPHIL_LPS_STIM_UP,0.338,1.5,0.0368
681,GSE23505_IL6_IL1_IL23_VS_IL6_IL1_TGFB_TREATED_CD4_TCELL_UP,-0.321,-1.44,0.037
682,GSE9988_ANTI_TREM1_VS_VEHICLE_TREATED_MONOCYTES_DN,-0.441,-1.65,0.0373
683,GSE5099_CLASSICAL_M1_VS_ALTERNATIVE_M2_MACROPHAGE_UP,-0.424,-1.66,0.0373
684,GSE36888_UNTREATED_VS_IL2_TREATED_TCELL_6H_DN,0.356,1.51,0.0375
685,GSE411_100MIN_VS_400MIN_IL6_STIM_MACROPHAGE_DN,0.399,1.58,0.0378
686,GSE46025_WT_VS_FOXO1_KO_KLRG1_LOW_CD8_EFFECTOR_TCELL_DN,0.409,1.49,0.0379
687,GSE11864_UNTREATED_VS_CSF1_IN_MAC_DN,0.305,1.4,0.0379
688,GSE17721_CPG_VS_GARDIQUIMOD_1H_BMDM_UP,-0.264,-1.31,0.0379
689,GSE15930_NAIVE_VS_72H_IN_VITRO_STIM_IL12_CD8_TCELL_UP,-0.268,-1.32,0.0379
690,GSE37301_HEMATOPOIETIC_STEM_CELL_VS_LYMPHOID_PRIMED_MPP_DN,0.315,1.44,0.038
691,GSE17721_LPS_VS_POLYIC_16H_BMDM_UP,0.311,1.41,0.038
692,GSE2770_TGFB_AND_IL4_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_48H_DN,-0.336,-1.46,0.0382
693,GSE360_HIGH_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_DC_UP,-0.328,-1.45,0.0385
694,GSE2770_TGFB_AND_IL4_VS_IL12_TREATED_ACT_CD4_TCELL_6H_DN,0.336,1.46,0.0387
695,GSE17721_PAM3CSK4_VS_GADIQUIMOD_1H_BMDM_DN,0.312,1.42,0.0387
696,GSE2770_UNTREATED_VS_TGFB_AND_IL4_TREATED_ACT_CD4_TCELL_4H_DN,0.305,1.38,0.0387
697,GSE43863_NAIVE_VS_TFH_CD4_EFF_TCELL_D6_LCMV_DN,-0.312,-1.37,0.0388
698,GSE7348_UNSTIM_VS_LPS_STIM_MACROPHAGE_UP,-0.311,-1.42,0.0388
699,GSE2585_THYMIC_DC_VS_THYMIC_MACROPHAGE_DN,-0.349,-1.48,0.0388
700,GSE6092_CTRL_VS_BORRELIA_BIRGDOFERI_INF_ENDOTHELIAL_CELL_UP,0.359,1.49,0.039
701,GSE3982_MAST_CELL_VS_NKCELL_UP,0.329,1.43,0.0391
702,GSE5589_IL6_KO_VS_IL10_KO_LPS_AND_IL10_STIM_MACROPHAGE_180MIN_DN,0.286,1.36,0.0391
703,GSE15930_NAIVE_VS_72H_IN_VITRO_STIM_TRICHOSTATINA_CD8_TCELL_UP,-0.274,-1.36,0.0392
704,GSE32986_UNSTIM_VS_CURDLAN_LOWDOSE_STIM_DC_UP,0.325,1.42,0.0393
705,GSE12845_PRE_GC_VS_DARKZONE_GC_TONSIL_BCELL_UP,-0.41,-1.59,0.0393
706,GSE5589_LPS_VS_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_DN,0.322,1.43,0.0396
707,GSE13306_TREG_RA_VS_TCONV_RA_DN,-0.278,-1.33,0.0397
708,GSE41867_NAIVE_VS_DAY15_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_DN,-0.311,-1.46,0.0397
709,GSE2770_TGFB_AND_IL4_VS_IL4_TREATED_ACT_CD4_TCELL_48H_DN,-0.314,-1.42,0.0399
710,GSE3982_NEUTROPHIL_VS_BASOPHIL_DN,0.341,1.47,0.04
711,GSE3982_MAST_CELL_VS_EFF_MEMORY_CD4_TCELL_UP,0.306,1.39,0.04
712,GSE40274_CTRL_VS_FOXP3_TRANSDUCED_ACTIVATED_CD4_TCELL_DN,-0.38,-1.53,0.04
713,GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_6H_ACT_CD4_TCELL_UP,-0.292,-1.34,0.0401
714,GSE43863_NAIVE_VS_MEMORY_TFH_CD4_TCELL_D150_LCMV_UP,-0.394,-1.58,0.0402
715,GSE43863_DAY6_EFF_VS_DAY150_MEM_LY6C_INT_CXCR5POS_CD4_TCELL_DN,-0.476,-1.68,0.0402
716,GSE30971_WBP7_HET_VS_KO_MACROPHAGE_4H_LPS_STIM_DN,-0.363,-1.53,0.0406
717,GSE17721_POLYIC_VS_CPG_12H_BMDM_UP,-0.282,-1.36,0.0407
718,GSE17721_0.5H_VS_24H_LPS_BMDM_UP,-0.311,-1.41,0.0407
719,GSE41087_WT_VS_FOXP3_MUT_ANTI_CD3_CD28_STIM_CD4_TCELL_UP,-0.434,-1.61,0.0407
720,GSE32986_UNSTIM_VS_GMCSF_AND_CURDLAN_LOWDOSE_STIM_DC_DN,-0.364,-1.51,0.0408
721,GSE25147_UNSTIM_VS_HELIOBACTER_PYLORI_LPS_STIM_MKN45_CELL_UP,0.352,1.51,0.041
722,GSE46606_UNSTIM_VS_CD40L_IL2_IL5_DAY3_STIMULATED_BCELL_DN,0.382,1.56,0.0411
723,GSE1460_DP_THYMOCYTE_VS_NAIVE_CD4_TCELL_CORD_BLOOD_UP,0.346,1.49,0.0411
724,GSE7764_IL15_TREATED_VS_CTRL_NK_CELL_24H_UP,0.454,1.65,0.0412
725,GSE7219_UNSTIM_VS_LPS_AND_ANTI_CD40_STIM_NIK_NFKB2_KO_DC_UP,-0.401,-1.6,0.0412
726,GSE43955_1H_VS_60H_ACT_CD4_TCELL_DN,-0.279,-1.36,0.0413
727,GSE12845_NAIVE_VS_PRE_GC_TONSIL_BCELL_DN,0.403,1.58,0.0414
728,GSE22432_CONVENTIONAL_CDC_VS_PLASMACYTOID_PDC_UP,0.358,1.49,0.0415
729,GSE1460_INTRATHYMIC_T_PROGENITOR_VS_CD4_THYMOCYTE_DN,-0.447,-1.65,0.0416
730,GSE24142_ADULT_VS_FETAL_DN2_THYMOCYTE_UP,-0.32,-1.45,0.0418
731,GSE19401_PLN_VS_PEYERS_PATCH_FOLLICULAR_DC_DN,0.372,1.52,0.0419
